NIT,ciiu,TOTAL ACTIVO CORRIENTE,TOTAL ACTIVO,TOTAL PASIVO CORRIENTE,TOTAL PASIVO,TOTAL PATRIMONIO,UTILIDAD,INTERESES,Ingresos,Tamaño Empresarial
900158685,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,2.05944E+11,5.1234E+11,1.30262E+11,4.10657E+11,1.01683E+11,1.36706E+11,37104853000,2.94374E+11,Mediana empresa
900358218,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,9686472000,26202227000,8812977000,22372905000,3829322000,8093742000,1787408000,17206882000,Mediana empresa
900414127,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,5862432000,12460791000,1900645000,8719887000,3740904000,3384890000,484886000,5972765000,Pequeña empresa
800005423,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,33485542000,46775103000,29432665000,34714870000,12060233000,37489913000,1804744000,1.06138E+11,Mediana empresa
800007202,C2229 - Fabricación de artículos de plástico n.c.p.,21984248000,35551274000,18030029000,23732869000,11818405000,6295243000,1954804000,53167127000,Mediana empresa
800041723,C2229 - Fabricación de artículos de plástico n.c.p.,2.11243E+11,2.75572E+11,1.40599E+11,2.15986E+11,59586386000,35514199000,4484801000,2.58129E+11,Gran empresa
800067861,C2229 - Fabricación de artículos de plástico n.c.p.,1.11617E+11,3.6308E+11,64010694000,1.57575E+11,2.05505E+11,22224122000,9604875000,2.119E+11,Gran empresa
800080027,"C1410 - Confección de prendas de vestir, excepto prendas de piel",1.09452E+11,1.92443E+11,82873975000,1.0815E+11,84293950000,98292064000,21663614000,1.70392E+11,Gran empresa
800080917,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,96115615000,1.42161E+11,61173579000,93293048000,48867626000,44518339000,4723331000,2.06931E+11,Gran empresa
800092777,"C1521 - Fabricación de calzado de cuero y piel, con cualquier tipo de suela",11700309000,25760739000,7490950000,9632351000,16128388000,9396095000,601633000,27741537000,Mediana empresa
800130985,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,27440571000,39108503000,14857062000,16528527000,22579976000,29216359000,2583358000,42872505000,Mediana empresa
800152825,"C1410 - Confección de prendas de vestir, excepto prendas de piel",3233587000,22821280000,162171000,2319064000,20502216000,799223000,76664000,3031537000,Pequeña empresa
800156635,C2229 - Fabricación de artículos de plástico n.c.p.,45656104000,68470082000,16318594000,17079494000,51390588000,9523962000,579229000,45427615000,Mediana empresa
800164590,C2229 - Fabricación de artículos de plástico n.c.p.,55327358000,83322584000,25696763000,30133579000,53189005000,36401508000,801091000,2.42859E+11,Gran empresa
800169352,"C1410 - Confección de prendas de vestir, excepto prendas de piel",3.08535E+11,3.58437E+11,2.01463E+11,2.88516E+11,69921473000,1.34874E+11,15959965000,2.74089E+11,Gran empresa
800171338,C2229 - Fabricación de artículos de plástico n.c.p.,22794628000,68678296000,20753548000,35862735000,32815561000,8455791000,2933777000,36540536000,Mediana empresa
800176628,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,48031563000,69268024000,29336087000,37508547000,31759477000,34798877000,1035855000,75235755000,Mediana empresa
800179834,"C1410 - Confección de prendas de vestir, excepto prendas de piel",11193388000,40947113000,6073390000,30150919000,10796194000,3616662000,2681000,13154531000,Mediana empresa
800199498,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,2828271000,5217782000,1681308000,2438511000,2779271000,2607279000,0,7466076000,Pequeña empresa
800217481,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,31705035000,77351037000,2803348000,11886106000,65464931000,12324831000,0,31327174000,Mediana empresa
800218958,C2229 - Fabricación de artículos de plástico n.c.p.,2.23649E+11,3.48211E+11,1.37709E+11,1.63085E+11,1.85126E+11,99460420000,21639471000,4.82533E+11,Gran empresa
800219678,C2229 - Fabricación de artículos de plástico n.c.p.,45283428000,68380791000,25912706000,27772597000,40608194000,25384272000,0,83309399000,Gran empresa
800226901,C2229 - Fabricación de artículos de plástico n.c.p.,37599794000,70742536000,31970585000,42357234000,28385302000,15520968000,3343263000,74603045000,Gran empresa
800227956,"C1410 - Confección de prendas de vestir, excepto prendas de piel",22424774000,30196321000,8810857000,26197590000,3998731000,7902627000,141759000,44646236000,Mediana empresa
800251038,C2229 - Fabricación de artículos de plástico n.c.p.,39208288000,49147168000,17915031000,17915031000,31232137000,29680447000,1497246000,69767467000,Gran empresa
801003052,"C1410 - Confección de prendas de vestir, excepto prendas de piel",6737863000,28039779000,4515069000,7438084000,20601695000,5195006000,97349000,25260667000,Mediana empresa
802012043,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,22566315000,87143662000,12548829000,37417562000,49726100000,17417724000,2001099000,28669399000,Mediana empresa
802014606,C2229 - Fabricación de artículos de plástico n.c.p.,31460189000,60757972000,27457362000,39173511000,21584461000,7868996000,9089648000,56595566000,Mediana empresa
805003626,"C1410 - Confección de prendas de vestir, excepto prendas de piel",4.55026E+11,6.2145E+11,2.23747E+11,3.76314E+11,2.45136E+11,4.79485E+11,20489610000,8.82154E+11,Gran empresa
805004875,G4772 - Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados,66415561000,87505558000,39877532000,60436041000,27069517000,67181993000,3832482000,1.52907E+11,Mediana empresa
805015744,"C1410 - Confección de prendas de vestir, excepto prendas de piel",18923372000,36861717000,12781989000,21297704000,15564013000,7785595000,3084555000,32921599000,Mediana empresa
805028697,"C1410 - Confección de prendas de vestir, excepto prendas de piel",20566020000,22894789000,16031629000,16031629000,6863160000,11388984000,0,31028058000,Mediana empresa
811005628,G4772 - Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados,11003724000,23467383000,6057436000,11386270000,12081113000,21050049000,1764634000,36316837000,Mediana empresa
811017000,"C1410 - Confección de prendas de vestir, excepto prendas de piel",3.5291E+11,4.17664E+11,3.51024E+11,3.81463E+11,36200701000,4.63484E+11,14204010000,1.03316E+12,Gran empresa
811018771,"C1410 - Confección de prendas de vestir, excepto prendas de piel",2.6035E+11,3.16866E+11,1.71944E+11,2.51893E+11,64973000000,2.56213E+11,17920000000,5.37566E+11,Gran empresa
811042428,"C1410 - Confección de prendas de vestir, excepto prendas de piel",22227466000,28006285000,8828250000,9877236000,18129049000,15003604000,0,45296324000,Mediana empresa
811042877,"C1410 - Confección de prendas de vestir, excepto prendas de piel",13611482000,28949024000,3805358000,12641772000,16307252000,7445914000,454483000,23730755000,Mediana empresa
811045326,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,5704782000,5967503000,2417732000,2442095000,3525408000,2704412000,354392000,9496618000,Pequeña empresa
815004320,C2229 - Fabricación de artículos de plástico n.c.p.,49889726000,72291956000,28898360000,50452314000,21839642000,19774035000,7185059000,83078273000,Gran empresa
817000727,C2229 - Fabricación de artículos de plástico n.c.p.,25579388000,43865710000,9850401000,11237699000,32628011000,3541423000,5185000,43999632000,Mediana empresa
817000793,C2229 - Fabricación de artículos de plástico n.c.p.,12315323000,17302626000,2318853000,2663386000,14639240000,3770293000,181281000,12045517000,Mediana empresa
817002584,C2229 - Fabricación de artículos de plástico n.c.p.,27594333000,83540559000,13691143000,16699750000,66840809000,12797974000,1394046000,65033394000,Mediana empresa
830021253,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,2.9535E+11,3.88075E+11,2.0793E+11,2.23967E+11,1.64108E+11,1.50239E+11,43729321000,4.63982E+11,Gran empresa
830022319,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,71370421000,75546436000,46172084000,48162233000,27384203000,19107613000,0,77960327000,Mediana empresa
830028860,G4772 - Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados,23784155000,30750397000,17295522000,18550951000,12199446000,31633119000,3898925000,67950269000,Mediana empresa
830048328,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,24743477000,77861817000,14228574000,36003254000,41858563000,30555849000,4606717000,69881977000,Mediana empresa
