Vigencia,Punto_de_Entrada,Nombre_Formulario,NIT,Razón_social_de_la_sociedad,CIIU,Clasificación_Industrial_Internacional_Uniforme_Versión_4_A.C_(CIIU),Tipo_societario,Dirección_de_notificación_judicial_registrada_en_Cámara_de_Comercio,Departamento_de_la_dirección_del_domicilio,Ciudad_de_la_dirección_del_domicilio,Periodo,Activos_corrientes_totales_(CurrentAssets),Total_de_activos_(Assets),Pasivos_corrientes_totales_(CurrentLiabilities),Total_pasivos_(Liabilities),Patrimonio_total_(Equity),Ingresos_de_actividades_ordinarias_(Revenue),Costo_de_ventas_(CostOfSales),Ganancia_bruta_(GrossProfit),Ganancia_(pérdida)_por_actividades_de_operación_(ProfitLossFromOperatingActivities),Costos_financieros_(FinanceCosts),Tamaño Empresarial,SECTOR,IL,E,RC,RP,RA,K
2023,Pymes-Individuales,"Estado de situación financiera, corriente/no corriente",900253112,Inversiones Waira Del Amazonas Sas,I5511,I5511 - Alojamiento en hoteles,08. Sociedad Por Acciones Simplificada Sas,Cra 10 7 36,Amazonas,Leticia-Amazonas,Periodo Actual,3055875000,6117442000,550450000,914982000,5202460000,6769303000,2027580000,4741723000,1154192000,256391000,Mipymes,SECTOR SERVICIO,5.55159415,0.149569379,4.501686877,0.221855045,0.188672324,2505425000
2023,Pymes-Individuales,"Estado de situación financiera, corriente/no corriente",900316285,Drogueria Gloria Rym S.A.S,G4773,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",08. Sociedad Por Acciones Simplificada Sas,Cra 10 7 48,Amazonas,Leticia-Amazonas,Periodo Actual,10526384000,14963178000,4601143000,5749857000,9213321000,26863217000,18888140000,7975077000,1685091000,409738000,Mipymes,SECTOR COMERCIO,2.287775885,0.384267099,4.112606104,0.182897242,0.112615849,5925241000
2023,Pymes-Individuales,"Estado de situación financiera, corriente/no corriente",900267028,Hotel Amazon B&B,I5511,I5511 - Alojamiento en hoteles,03. Sociedad Limitada,Calle 12 9-30 Barrio Jose Maria Hernandez,Amazonas,Leticia-Amazonas,Periodo Actual,163815000,1096611000,66636000,66636000,1029975000,565995000,133109000,432886000,46375000,0,Mipymes,SECTOR SERVICIO,2.458355844,0.060765394,10,0.045025365,0.042289381,97179000
2023,Pymes-Individuales,"Estado de situación financiera, corriente/no corriente",811005687,Comercializadora Solimoes Sa,G4653,G4653 - Comercio al por mayor de maquinaria y equipo agropecuarios,01. Sociedad Anónima,Calle 7 No. 9-48,Amazonas,Leticia-Amazonas,Periodo Actual,6610450000,6746846000,2795630000,2815459000,3931387000,10476966000,8048070000,2428896000,778038000,39164000,Mipymes,SECTOR COMERCIO,2.364565411,0.417300024,19.86615259,0.1979042,0.115318773,3814820000
2023,Pymes-Individuales,"Estado de situación financiera, corriente/no corriente",838000154,Creditos Parra Y Cia Sas,G4754,"G4754 - Comercio al por menor de electrodomésticos y gasodomésticos, muebles y equipos de iluminación en establecimientos especializados",08. Sociedad Por Acciones Simplificada Sas,Calle 7 Nro. 10-33 Barrio Centro,Amazonas,Leticia-Amazonas,Periodo Actual,4534869000,7738881000,2743108000,3825008000,3913873000,9656358000,6899063000,2757295000,360862000,0,Mipymes,SECTOR COMERCIO,1.653186459,0.494258537,10,0.092200743,0.046629739,1791761000
2023,Pymes-Individuales,"Estado de situación financiera, corriente/no corriente",900069061,Distribuidora La Confianza Sas,G4663,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",08. Sociedad Por Acciones Simplificada Sas,Cr 11 4 79,Amazonas,Leticia-Amazonas,Periodo Actual,9603402000,10674929000,4644867000,4644867000,6030062000,14527324000,10204201000,4323123000,1208411000,219405000,Mipymes,SECTOR COMERCIO,2.067530028,0.435119241,5.507673025,0.200397774,0.113200847,4958535000
2023,Pymes-Individuales,"Estado de situación financiera, corriente/no corriente",900987909,Grupo Merk Sas,G4754,"G4754 - Comercio al por menor de electrodomésticos y gasodomésticos, muebles y equipos de iluminación en establecimientos especializados",05. Sociedad En Comandita Por Acciones,Cr 10 8 29,Amazonas,Leticia-Amazonas,Periodo Actual,2014448000,2250342000,579326000,844228000,1406114000,4037840000,2399121000,1638719000,250010000,51722000,Mipymes,SECTOR COMERCIO,3.477226984,0.375155421,4.833726461,0.177802084,0.111098669,1435122000
2024,Pymes-Individuales,"Estado de situación financiera, corriente/no corriente",900316285,Drogueria Gloria Rym S.A.S,G4773,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",08. Sociedad Por Acciones Simplificada Sas,Cra 10 7 48,Amazonas,Leticia-Amazonas,Periodo Actual,10502987000,15021257000,4507158000,4934415000,10086842000,26666754000,18137099000,8529655000,1582926000,250841000,Mipymes,Comercio,2.330290396,0.328495478,6.31047556,0.15692979,0.105379064,5995829000
2024,Pymes-Individuales,"Estado de situación financiera, corriente/no corriente",860079449,Gaseosas Leticia Sas,C1104,"C1104 - Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",08. Sociedad Por Acciones Simplificada Sas,Cl 8 8 06,Amazonas,Leticia-Amazonas,Periodo Actual,5431013000,15380391000,4504441000,5556822000,9823569000,20039144000,11951563000,8087581000,3675073000,761977000,Mipymes,Manufacturero,1.205701884,0.361292636,4.823076025,0.37410772,0.238945356,926572000
2024,Pymes-Individuales,"Estado de situación financiera, corriente/no corriente",800199025,Rubio Collazos Ruco Ltda,G4711,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",08. Sociedad Por Acciones Simplificada Sas,Carrera 11 8 - 40,Amazonas,Leticia-Amazonas,Periodo Actual,1372786000,2308610000,955882000,1801416000,507194000,5150532000,4185718000,964814000,7295000,0,Mipymes,Comercio,1.436145884,0.780303299,10,0.014383057,0.00315991,416904000
2024,Pymes-Individuales,"Estado de situación financiera, corriente/no corriente",900987909,Grupo Merk Sas,G4754,"G4754 - Comercio al por menor de electrodomésticos y gasodomésticos, muebles y equipos de iluminación en establecimientos especializados",05. Sociedad En Comandita Por Acciones,Carrera 10 8 29,Amazonas,Leticia-Amazonas,Periodo Actual,2345476000,2572499000,929396000,1065235000,1507264000,4913609000,2988505000,1925104000,365558000,71520000,Mipymes,Comercio,2.523656224,0.414085681,5.111269575,0.242530837,0.14210229,1416080000
2024,Pymes-Individuales,"Estado de situación financiera, corriente/no corriente",900253112,Inversiones Waira Del Amazonas Sa,I5511,I5511 - Alojamiento en hoteles,08. Sociedad Por Acciones Simplificada Sas,Cra 10 7 36,Amazonas,Leticia-Amazonas,Periodo Actual,3905072000,6864431000,647649000,647649000,6216782000,7052995000,1928451000,5124544000,1270402000,148473000,Mipymes,Servicios,6.029611719,0.094348534,8.556451341,0.204350418,0.185070256,3257423000
2024,Pymes-Individuales,"Estado de situación financiera, corriente/no corriente",838000154,Creditos Parra Y Cia Sa,G4741,"G4741 - Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados",08. Sociedad Por Acciones Simplificada Sas,Calle 7#10-33,Amazonas,Leticia-Amazonas,Periodo Actual,6084127000,8201930000,3287065000,3793304000,4408626000,9875587000,7019457000,2856130000,456861000,0,Mipymes,Comercio,1.850929933,0.462489195,10,0.103628886,0.055701646,2797062000
2024,Pymes-Individuales,"Estado de situación financiera, corriente/no corriente",811005687,Comercializadora Solimoes Sanota1.Htmlg4653 - Comercicomercializadora Solimoes Sa,G4653,G4653 - Comercio al por mayor de maquinaria y equipo agropecuarios,01. Sociedad Anónima,Calle 7 No. 9-48,Amazonas,Leticia-Amazonas,Periodo Actual,6329413000,7805914000,3122544000,3143764000,4662150000,9948459000,7645958000,2302501000,713603000,39811000,Mipymes,Comercio,2.027005224,0.402741306,17.92476954,0.153063072,0.09141825,3206869000
2024,Pymes-Individuales,"Estado de situación financiera, corriente/no corriente",900069061,Distribuidora La Confianza Sas,G4663,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",08. Sociedad Por Acciones Simplificada Sas,Cr 11 4 79,Amazonas,Leticia-Amazonas,Periodo Actual,10956232000,11935318000,5367626000,5367626000,6567692000,13175400000,8682567000,4492833000,876053000,189711000,Mipymes,Comercio,2.041169038,0.449726266,4.617829224,0.133388259,0.073400055,5588606000
2023,Plenas-Individuales,"Estado de situación financiera, corriente/no corriente",800011002,Tecnas S.A,C1089,C1089 - Elaboración de otros productos alimenticios n.c.p.,01. Sociedad Anónima,Cr 50 G 12 Sur 29,Antioquia,Itagui-Antioquia,Periodo Actual,67883378000,1.29E+11,51729339000,65570524000,63095795000,1.87E+11,1.26E+11,60839337000,21911324000,9184561000,Gran empresa,SECTOR MANUFACTURERO,1.31228002,0.509616849,2.385669168,0.347270749,0.170295724,16154039000
2023,Plenas-Individuales,"Estado de situación financiera, corriente/no corriente",800014246,Estyma Estudios Y Manejos S.A.,F4210,F4210 - Construcción de carreteras y vías de ferrocarril,01. Sociedad Anónima,Cr 35A 15B35 Of 410,Antioquia,Medellin-Antioquia,Periodo Actual,1.02E+11,1.91E+11,49509143000,1.49E+11,42232527000,2.41E+11,2.2E+11,21694917000,885680000,14633020000,Gran empresa,SECTOR MANUFACTURERO,2.056969417,0.779315921,0.060526125,0.020971513,0.004628079,52329650000
2023,Plenas-Individuales,"Estado de situación financiera, corriente/no corriente",800019437,Corrugados Del Darien S.A.S,C1702,"C1702 - Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón",08. Sociedad Por Acciones Simplificada Sas,Cl 26 Sur 48-12,Antioquia,Apartado-Antioquia,Periodo Actual,42932590000,1.2E+11,32450511000,59612163000,60312459000,1.02E+11,69880519000,32119544000,21598108000,37573000,Gran empresa,SECTOR MANUFACTURERO,1.323017379,0.497080266,574.8305432,0.358103589,0.180097361,10482079000
2023,Plenas-Individuales,"Estado de situación financiera, corriente/no corriente",800026092,Hb Fuller Colombia Sas,C2029,C2029 - Fabricación de otros productos químicos n.c.p.,08. Sociedad Por Acciones Simplificada Sas,Centro Ciudad Carga  Rionegro Fase Ii 3Oo Mts Glorieta Aeropuerto Jmc Via Guarne,Antioquia,Rionegro-Antioquia,Periodo Actual,1.6E+11,1.89E+11,30384222000,30384222000,1.58E+11,2.16E+11,1.51E+11,65323004000,34924379000,156487000,Gran empresa,SECTOR MANUFACTURERO,5.258587335,0.161173919,223.17751,0.220853055,0.185257303,1.29E+11
