NIT,ciiu,TOTAL ACTIVO CORRIENTE,TOTAL ACTIVO,TOTAL PASIVO CORRIENTE,TOTAL PASIVO,TOTAL PATRIMONIO,UTILIDAD,INTERESES,Ingresos,Tamaño Empresarial
800012080,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",14749756000,15612960000,5536297000,5672396000,9940564000,9374242000,65365000,25716594000,Mediana empresa
800023543,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2317544000,7538643000,3007358000,3316583000,4222060000,3605563000,0,18394281000,Mediana empresa
800128680,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",86935907000,97741443000,44619690000,46382286000,51359157000,46278215000,5628443000,1.9756E+11,Mediana empresa
800219028,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",18564707000,28865497000,11768152000,12209977000,16655520000,13084666000,775114000,31745582000,Mediana empresa
800236772,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",24558706000,28191943000,11784533000,18221999000,9969944000,15951430000,3989686000,64311800000,Mediana empresa
802015914,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1581928000,1608554000,890473000,890473000,718081000,1108853000,59563000,6502202000,Pequeña empresa
811025696,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",63675992000,63865014000,44127552000,48493710000,15371304000,24157967000,2486034000,1.10895E+11,Mediana empresa
811041369,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1.89003E+11,1.92231E+11,19498944000,1.1696E+11,75270756000,59288585000,13772722000,2.79407E+11,Mediana empresa
811043844,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",11631622000,13863950000,5234834000,5549038000,8314912000,5404325000,1021346000,19790051000,Mediana empresa
816008064,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",24327004000,24700307000,7718324000,17578409000,7121898000,14753681000,1264303000,31754290000,Mediana empresa
830007183,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",13595823000,84878988000,14478812000,34883450000,49995538000,14366179000,5770971000,31767127000,Mediana empresa
830007802,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2747366000,3077414000,1436422000,1436422000,1640992000,1566154000,81001000,5138827000,Pequeña empresa
830036557,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",10544372000,45992674000,6488130000,13285354000,32707320000,7303132000,2364255000,17078606000,Mediana empresa
830056113,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",47219038000,48438747000,34315897000,34691560000,13747187000,15214096000,443185000,85416689000,Mediana empresa
830057706,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1.38533E+11,1.46984E+11,1.1837E+11,1.36631E+11,10352532000,48936537000,11034721000,2.23492E+11,Mediana empresa
830073570,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",44319622000,48622400000,33623155000,35084200000,13538200000,16382994000,5413195000,64975771000,Mediana empresa
830080641,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",47733486000,50439296000,9167559000,32138848000,18300448000,26227700000,5591073000,73538559000,Mediana empresa
830104409,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",34714820000,34991588000,22724314000,26288133000,8703455000,12757989000,2842545000,49094572000,Mediana empresa
830140289,G4520 - Mantenimiento y reparación de vehículos automotores,26151548000,27165794000,12411260000,16324019000,10841775000,7612489000,1125877000,41141520000,Gran empresa
830147625,G4520 - Mantenimiento y reparación de vehículos automotores,1107351000,1189421000,439844000,439844000,749577000,45360000,5220000,45360000,Microempresa
860001755,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",191887000,3537225000,484712000,3126319000,410906000,30766000,268727000,49072000,Microempresa
860002127,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1.23688E+11,1.57334E+11,68192567000,93418399000,63915427000,32031568000,2692204000,2.74486E+11,Mediana empresa
860065746,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",67226037000,68004734000,8923550000,22637102000,45367632000,15362979000,1769976000,32571756000,Mediana empresa
860350170,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",26557724000,29376935000,15940693000,18603620000,10773315000,16998497000,2802507000,40440774000,Mediana empresa
860523227,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",3292227000,3334390000,1073422000,1073422000,2260968000,3045287000,1282000,3045287000,Pequeña empresa
890300225,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",3.60334E+11,4.26431E+11,1.60765E+11,2.32623E+11,1.93807E+11,2.19036E+11,6819594000,7.46005E+11,Mediana empresa
890304855,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",33466997000,40616242000,8331477000,9933906000,30682336000,24614472000,310859000,71657400000,Mediana empresa
890305202,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",8453697000,8621614000,4265344000,4920712000,3700902000,3802237000,238797000,11310213000,Pequeña empresa
