SECTOR,NUMERO,ID,TALLOS,DIVISION,CLASE,ORDEN ,FAMILIA,GENERO,NOMRBE CIENTIFICO,NOMBRE COMUN,CAP (cm),DAP (m),ALTURA (m),ALTURA COMERCIAL (m),ABASAL(m2),VOL TOTAL (m3),VOLUMEN COMERCIAL (m3),DIAMETROD E COPA (m),RADIO DE COPA (m),ESTADO MECANICO,ESTADO FITOSANITARIO,PRESENCIA EPIFITAS VASCULARES,TRATAMIENTO,X BOGOTA,YBOGOTA,X NACIONAL,Y NACIONAL,ASNM
NT8,1,NT08 (Sitio Trr),A,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Inga,Inga edulis,Guamo,44,0.140056022,4,2,0.015406162,0.03697479,0.018487395,5.2,2.6,Regular,Regular,No,Tala,1122926,1221203,5003756,2286765,1690
NT8,1,NT08 (Sitio Trr),B,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Inga,Inga edulis,Guamo,34,0.108225108,4,2,0.009199134,0.022077922,0.011038961,5.2,2.6,Regular,Regular,No,Tala,1122926,1221203,5003756,2286765,1690
NT8,02,NT8-02,A,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Inga,Inga edulis,Guamo,40,0.127323657,4,1.3,0.012732366,0.030557678,0.009931245,4,2,Regular,B,No,Tala,1122927,1221199,5003757,2286761,1690
NT8,02,NT8-02,B,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Inga,Inga edulis,Guamo,40,0.127323657,4,1.3,0.012732366,0.030557678,0.009931245,4,2,Regular,B,No,Tala,1122927,1221199,5003757,2286761,1690
NT8,02,NT8-02,C,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Inga,Inga edulis,Guamo,28,0.08912656,4,1.3,0.006238859,0.014973262,0.00486631,4,2,Regular,B,No,Tala,1122927,1221199,5003757,2286761,1690
NT8,03,NT8-03,A,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Inga,Inga edulis,Guamo,58,0.184619302,6,2.1,0.026769799,0.096371276,0.033729947,8,4,Regular,Regular,No,Tala,1122935,1221202,5003765,2286764,1690
NT8,03,NT8-03,B,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Inga,Inga edulis,Guamo,40,0.127323657,6,1.3,0.012732366,0.045836516,0.009931245,8,4,Regular,Regular,No,Tala,1122935,1221202,5003765,2286764,1690
NT8,03,NT8-03,C,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Inga,Inga edulis,Guamo,55,0.175070028,6,1.8,0.024072129,0.086659664,0.025997899,8,4,Regular,Regular,No,Tala,1122935,1221202,5003765,2286764,1690
NT8,04,NT8-04,A,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Inga,Inga edulis,Guamo,30,0.095492743,5,3,0.007161956,0.021485867,0.01289152,10,5,Regular,Regular,No,Tala,1122937,1221212,5003767,2286774,1690
NT8,04,NT8-04,B,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Inga,Inga edulis,Guamo,42,0.13368984,5,3,0.014037433,0.042112299,0.02526738,10,5,Regular,Regular,No,Tala,1122937,1221212,5003767,2286774,1690
