LI,NE,RCI,RP,RA,CT,%K
1.580997993,0.801532342,3.684312481,1.344434254,0.266826718,75681921000,84.56080559
1.099114635,0.853855094,4.528200612,2.113622725,0.308895194,873495000,0.975972067
3.084443439,0.699785993,6.980795486,0.904832094,0.271643269,3961787000,4.426577654
1.137699967,0.742165549,20.7729811,3.108556277,0.801492901,4052877000,4.52835419
1.219312958,0.667567328,3.220396009,0.532664349,0.177075033,3954219000,4.418121788
1.502442645,0.783772186,7.918790377,0.596011965,0.128874364,70643156000,78.93090056
1.743717433,0.433995199,2.313837713,0.108143929,0.061209983,47605869000,53.19091508
1.320704274,0.56198068,4.537196056,1.166063092,0.510758163,26578038000,29.69613184
1.571194894,0.656250743,9.425199928,0.910998603,0.313155092,34942036000,39.04138101
1.561925924,0.373915942,15.61765229,0.582581161,0.364744777,4209359000,4.703194413
1.846971561,0.422632567,11.30945034,1.293905671,0.747058996,12583509000,14.05978659
19.93936647,0.101618489,10.42501044,0.038982274,0.035020954,3071416000,3.431749721
2.797796428,0.249444626,16.4424813,0.185325025,0.139096693,29337510000,32.77934078
2.153086675,0.361649598,45.43991631,0.684380315,0.436874449,29630595000,33.10681006
1.531473142,0.804926929,8.450800237,1.928942143,0.376284667,1.07072E+11,119.6337475
1.098348485,0.522184403,2.882220087,0.257676259,0.123121736,2041080000,2.280536313
1.637285948,0.54149873,33.59435153,1.095700568,0.502380103,18695476000,20.8888
1.843021443,0.736338091,1348.997389,0.334994166,0.088325201,5119998000,5.720668156
1.682184942,0.467346279,10,0.938116146,0.499691056,1146963000,1.281522905
11.30970361,0.153664469,10,0.188266157,0.159336338,28901687000,32.29238771
1.624077318,0.468350789,4.596250065,0.537257041,0.285632282,85940785000,96.02322346
1.747537598,0.406146179,10,0.625102215,0.371219338,19370722000,21.6432648
1.176074632,0.598751987,4.642460973,0.546795944,0.219400786,5629209000,6.289618994
2.545129719,0.867575557,55.74691554,1.976283726,0.261708272,13613917000,15.21108045
2.188569364,0.364518074,19.82336036,0.950317521,0.603909609,21293257000,23.7913486
1.492305655,0.265268995,53.36475978,0.252164009,0.185272716,2222794000,2.483568715
1.798280541,0.429377893,8.704079109,0.350273277,0.199873675,10017486000,11.19272179
1.145783379,0.644746849,0.865709651,0.36456764,0.129513803,4002827000,4.472432402
2.033663216,0.605541794,23.4013827,1.955997402,0.771559225,2.31279E+11,258.4123531
1.66548825,0.690653741,17.52963041,2.481831981,0.767745439,26538029000,29.65142905
1.480471623,0.577772978,2.524057765,0.500230564,0.211210861,6141383000,6.861880447
1.282840315,0.700230476,10,1.659437344,0.497448743,4534391000,5.066358659
1.816564632,0.485195558,11.928847,1.742393188,0.896991752,4946288000,5.526578771
1.005374224,0.913325769,32.63047675,12.80316693,1.109704651,1886481000,2.1078
1.514155772,0.794951178,14.29760045,3.943376479,0.808584701,88406000000,98.77765363
2.517765809,0.352679265,10,0.827600168,0.535722749,13399216000,14.97119106
3.576925482,0.436690784,16.38326186,0.456601394,0.257207773,9806124000,10.95656313
2.359559289,0.409232304,7.631131628,0.767120288,0.453189885,3287050000,3.672681564
1.726386065,0.697896651,2.75210475,0.905419375,0.273530225,20991366000,23.45404022
2.596786466,0.256184136,683.0131148,0.108539347,0.080733288,15728987000,17.57428715
5.310954597,0.153929583,20.79805937,0.257547045,0.217902936,9996470000,11.16924022
2.015487896,0.199899907,9.180453156,0.191469466,0.153194737,13903190000,15.5342905
1.420427228,0.577122485,3.435653483,0.915485351,0.38713817,87419595000,97.67552514
1.545748314,0.637518268,10,0.69776042,0.252925406,25198337000,28.15456648
1.3751626,0.603275171,8.11329251,2.592996354,1.028706036,6488633000,7.249869274
1.738999073,0.462399356,6.632890408,0.729978451,0.392436886,10514903000,11.74849497
1.724432793,0.536137702,4.008718166,0.547336006,0.253888538,3017782000,3.371823464
2.136429931,0.534873201,0,0,0,8765017000,9.793315084
1.469420425,0.682362191,10,1.647079578,0.523174749,11764180000,13.1443352
2.366272187,0.878373048,1.621481225,2.008043223,0.244232177,27416902000,30.63341006
1.118045192,0.601934857,3.416214136,0.737018335,0.293381309,3257666000,3.639850279
1.820385173,0.550713996,2.859081911,0.230685097,0.103643586,66176329000,73.9400324
2.19458391,0.417162763,333.9548561,0.252331566,0.147068233,91982973000,102.7742715
1.358947827,0.543906538,3.634725722,0.530382543,0.24190401,8436055000,9.425759777
1.435066639,0.665888542,3.260627667,0.723424363,0.241704369,15330069000,17.12856872
4.417475684,0.253930466,17.87838227,0.260482773,0.194338261,40596614000,45.35934525
1.453336879,0.407474215,967.8066731,0.466886435,0.276642252,13388180000,14.95886034
3.116423973,0.951593566,3.395487621,5.005418939,0.242294481,20719778000,23.15058994
2.93818353,0.317859859,20078921,0.754174475,0.514452682,22585172000,25.23482905
2.67605026,0.330952581,4.75346655,0.510627941,0.341634306,27504087000,30.73082346
2.357813039,0.551985747,2.903054523,1.100999138,0.493263306,45919575000,51.30678771
1.376020395,0.563834434,4.263381221,0.448728817,0.195720058,41201133000,46.03478547
1.602946491,0.548382636,18.21163464,2.556101507,1.154379825,10957513000,12.24303128
1.01121614,0.802817831,4.683988346,1.454804538,0.286861515,5621944000,6.281501676
1.626351072,0.370311584,7.848292172,0.406982285,0.256272031,10439134000,11.66383687
2.525570744,0.424026446,12.13279556,0.400109692,0.230452601,6333828000,7.076902793
1.337573703,0.521642943,2.390637898,0.228467101,0.10928885,65011499000,72.63854637
2.836028177,0.40227664,5.801898996,0.487222607,0.291224333,10943567000,12.22744916
3.927457344,0.345084798,6.200544761,0.555580013,0.363857796,27902764000,31.17627263
2.990296729,0.224969227,2.428035659,0.287948237,0.223168745,16737880000,18.7015419
1.558744842,0.502423114,23.27242738,0.711865329,0.354207733,34702552000,38.77380112
1.123533497,0.659348475,5.106497471,0.391377041,0.133323186,14778720000,16.51253631
3.139961757,0.551570663,10,0.488635495,0.219118491,4714890000,5.26803352
1.926537483,0.457073815,5.053853458,1.005558752,0.545944177,25281398000,28.24737207
3.292892889,0.407283976,13.4823808,0.932741509,0.552850839,27004773000,30.17293073
1.117583931,0.686793296,17.39682344,1.19721901,0.374977021,3500858000,3.911573184
1.108746615,0.75649814,14.99173834,2.599610083,0.633009892,20919424000,23.3736581
1.896103418,0.706984004,8.651288057,2.119789932,0.621132359,4330228000,4.838243575
115.446655,0.005257763,0,0,0,2410361000,2.693140782
2.143517625,0.260720003,5.011827131,0.186873812,0.138152071,60325967000,67.40331508
1.564110859,0.602264117,6.584374484,1.30902867,0.520647674,1.93619E+11,216.3336894
2.08064277,0.627840977,9.436772547,1.083091999,0.40308246,87569178000,97.84265698
1.45385479,0.453993963,1.231920419,0.206308548,0.112645713,31079976000,34.72623017
1.377317187,0.54945002,0.982085984,0.176283759,0.079424644,18692244000,20.88518883
3.422309574,0.285527799,16.0980275,0.430248914,0.307400889,31781765000,35.51035196
1.966161116,0.688361643,3.846518332,1.843721202,0.574574247,68582628000,76.62863464
1.59862893,0.496124243,4.696753072,0.56792849,0.286165398,67109826000,74.98304581
2.119348802,0.437074882,11.99295991,0.449382808,0.25296887,34930242000,39.02820335
