"Periodo(MMM DD, AAAA)",Tasa Representativa del Mercado (TRM)
24553,9.94
24554,9.94
24555,9.94
24556,9.94
24557,9.94
24558,9.94
24559,9.94
24560,9.94
24561,13.51
24562,13.51
24563,13.51
24564,13.51
24565,13.51
24566,13.58
24567,13.58
24568,13.58
24569,13.58
24570,13.58
24571,13.58
24572,13.58
24573,13.8
24574,13.84
24575,13.89
24576,13.89
24577,13.89
24578,13.89
24579,13.89
24580,13.89
24581,13.89
24582,13.89
24583,13.89
24584,13.89
24585,13.89
24586,13.89
24587,13.89
24588,13.89
24589,13.89
24590,13.89
24591,13.89
24592,13.89
24593,13.89
24594,13.92
24595,13.92
24596,13.92
24597,13.95
24598,13.95
24599,13.95
24600,13.95
24601,13.95
24602,14.02
24603,14.02
24604,14.05
24605,14.05
24606,14.05
24607,14.05
24608,14.05
24609,14.05
24610,14.05
24611,14.09
24612,14.09
24613,14.09
24614,14.09
24615,14.13
24616,14.13
24617,14.13
24618,14.13
24619,14.13
24620,14.13
24621,14.17
24622,14.17
24623,14.22
24624,14.22
24625,14.22
24626,14.25
24627,14.25
24628,14.29
24629,14.29
24630,14.32
24631,14.32
24632,14.36
24633,14.36
24634,14.36
24635,14.4
24636,14.4
24637,14.4
24638,14.4
24639,14.43
24640,14.43
24641,14.43
24642,14.43
24643,14.46
24644,14.46
24645,14.46
24646,14.46
24647,14.46
24648,14.46
24649,14.46
24650,14.46
24651,14.46
24652,14.46
24653,14.46
24654,14.46
24655,14.46
24656,14.5
24657,14.5
24658,14.5
24659,14.5
24660,14.53
24661,14.53
24662,14.53
24663,14.53
24664,14.57
24665,14.57
24666,14.57
24667,14.6
24668,14.6
24669,14.6
24670,14.6
24671,14.63
24672,14.63
24673,14.63
24674,14.63
24675,14.63
24676,14.63
24677,14.66
24678,14.66
24679,14.66
24680,14.7
24681,14.7
24682,14.7
24683,14.7
24684,14.7
24685,14.73
24686,14.73
24687,14.73
24688,14.77
24689,14.77
24690,14.77
24691,14.77
24692,14.77
24693,14.8
24694,14.8
24695,14.8
24696,14.8
24697,14.8
24698,14.84
24699,14.84
24700,14.84
24701,14.84
24702,14.87
24703,14.87
24704,14.87
24705,14.87
24706,14.87
24707,14.92
24708,14.92
24709,14.92
24710,14.92
24711,14.92
24712,14.95
24713,14.95
24714,14.98
24715,14.98
24716,15.01
24717,15.01
24718,15.01
24719,15.01
24720,15.01
24721,15.04
24722,15.07
24723,15.07
24724,15.07
24725,15.07
24726,15.07
24727,15.07
24728,15.11
24729,15.11
24730,15.11
24731,15.11
24732,15.11
24733,15.15
24734,15.15
24735,15.18
24736,15.18
24737,15.21
24738,15.21
24739,15.21
24740,15.21
24741,15.25
24742,15.25
24743,15.29
24744,15.29
24745,15.29
24746,15.29
24747,15.29
24748,15.29
24749,15.32
24750,15.34
24751,15.34
24752,15.34
24753,15.34
24754,15.34
24755,15.36
24756,15.36
24757,15.36
24758,15.39
24759,15.39
24760,15.39
24761,15.39
24762,15.41
24763,15.41
24764,15.44
24765,15.44
24766,15.44
24767,15.44
24768,15.47
24769,15.47
24770,15.47
24771,15.5
24772,15.5
24773,15.5
24774,15.5
24775,15.5
24776,15.5
24777,15.5
24778,15.57
24779,15.57
24780,15.57
24781,15.57
24782,15.57
24783,15.6
24784,15.6
24785,15.6
24786,15.6
24787,15.6
24788,15.6
24789,15.6
24790,15.63
24791,15.63
24792,15.63
24793,15.63
24794,15.63
24795,15.63
24796,15.67
24797,15.69
24798,15.69
24799,15.69
24800,15.69
24801,15.69
24802,15.69
24803,15.69
24804,15.69
24805,15.69
24806,15.69
24807,15.69
24808,15.69
24809,15.69
24810,15.69
24811,15.69
24812,15.69
24813,15.72
24814,15.72
24815,15.72
24816,15.72
24817,15.74
24818,15.74
24819,15.74
24820,15.74
24821,15.76
24822,15.76
24823,15.71
24824,15.76
24825,15.76
24826,15.76
24827,15.76
24828,15.76
24829,15.76
24830,15.76
24831,15.76
24832,15.76
24833,15.76
24834,15.76
24835,15.76
24836,15.76
24837,15.76
24838,15.76
24839,15.76
24840,15.76
24841,15.76
24842,15.76
24843,15.76
24844,15.76
24845,15.76
24846,15.76
24847,15.76
24848,15.78
24849,15.78
24850,15.78
24851,15.78
24852,15.78
24853,15.78
24854,15.78
24855,15.78
24856,15.78
24857,15.78
24858,15.78
24859,15.78
24860,15.78
24861,15.78
24862,15.78
24863,15.78
24864,15.78
24865,15.78
24866,15.78
24867,15.78
24868,15.78
24869,15.78
24870,15.8
24871,15.8
24872,15.8
24873,15.8
24874,15.8
24875,15.8
24876,15.82
24877,15.82
24878,15.82
24879,15.82
24880,15.82
24881,15.82
24882,15.82
24883,15.85
24884,15.85
24885,15.85
24886,15.85
24887,15.85
24888,15.85
24889,15.85
24890,15.87
24891,15.87
24892,15.87
24893,15.87
24894,15.87
24895,15.87
24896,15.87
24897,15.87
24898,15.87
24899,15.87
24900,15.87
24901,15.87
24902,15.9
24903,15.91
24904,15.92
24905,15.93
24906,15.93
24907,15.93
24908,15.93
24909,15.95
24910,15.95
24911,15.95
24912,15.95
24913,15.95
24914,15.95
24915,15.95
24916,15.95
24917,15.95
24918,15.95
24919,15.95
24920,15.95
24921,15.95
24922,15.95
24923,15.98
24924,15.98
24925,15.98
24926,15.98
24927,15.98
24928,15.98
24929,16
24930,16
24931,16
24932,16.02
24933,16.02
24934,16.02
24935,16.02
24936,16.02
24937,16.02
24938,16.05
24939,16.05
24940,16.05
24941,16.05
24942,16.05
24943,16.05
24944,16.05
24945,16.07
24946,16.07
24947,16.07
24948,16.07
24949,16.07
24950,16.08
24951,16.08
24952,16.09
24953,16.09
24954,16.11
24955,16.11
24956,16.11
24957,16.11
24958,16.11
24959,16.11
24960,16.13
24961,16.15
24962,16.15
24963,16.15
24964,16.15
24965,16.15
24966,16.18
24967,16.18
24968,16.18
24969,16.18
24970,16.18
24971,16.18
24972,16.2
24973,16.2
24974,16.2
24975,16.2
24976,16.2
24977,16.2
24978,16.2
24979,16.2
24980,16.2
24981,16.2
24982,16.2
24983,16.2
24984,16.2
24985,16.2
24986,16.23
24987,16.23
24988,16.23
24989,16.26
24990,16.26
24991,16.26
24992,16.26
24993,16.26
24994,16.26
24995,16.26
24996,16.26
24997,16.26
24998,16.26
24999,16.26
25000,16.26
25001,16.26
25002,16.26
25003,16.26
25004,16.26
25005,16.26
25006,16.26
25007,16.27
25008,16.27
25009,16.27
25010,16.27
25011,16.27
25012,16.27
25013,16.28
25014,16.28
25015,16.29
25016,16.29
25017,16.29
25018,16.29
25019,16.29
25020,16.29
25021,16.29
25022,16.29
25023,16.29
25024,16.29
25025,16.29
25026,16.29
25027,16.29
25028,16.29
25029,16.29
25030,16.29
25031,16.29
25032,16.3
25033,16.3
25034,16.3
25035,16.3
25036,16.31
25037,16.31
25038,16.32
25039,16.32
25040,16.32
25041,16.32
25042,16.33
25043,16.33
25044,16.33
25045,16.34
25046,16.34
25047,16.34
25048,16.34
25049,16.35
25050,16.35
25051,16.35
25052,16.36
25053,16.36
25054,16.36
