No,LIQUIDEZ,NIVEL DE ENDEUDAMIENTO ,Razón de Cobertura de intereses , Rentabilidad del Patrimonio ,Rentabilidad del Activo,CAPITAL DE TRABAJO,%K
1,10.83578947,0.696197228,9.588151531, 0.28 ,0.085968818,19270682000,3.757473956
2,2.396180269,0.675897821,34.90900027, 0.54 ,0.173396007,28917877000,5.638522274
3,2.262470518,0.614089332,16.05860937, 0.50 ,0.191277381,6808756000,1.327598231
4,17.20354725,0.599453037,25.74488095, 0.15 ,0.061040612,3784063000,0.737831602
5,1.789410432,0.743415271,9.422843299, 0.43 ,0.111163302,5949177000,1.159994111
6,2.678577234,0.61594296,28.14135327, 2.70 ,1.035872347,4698336000,0.916100175
7,1.59507853,0.593128292,5.37206602, 0.53 ,0.216388159,14322262000,2.792611411
8,11.08946748,0.513283063,10, 0.96 ,0.466432538,10368976000,2.021784038
9,3.752361052,0.506903265,17.62290486, 0.73 ,0.358852413,77225851000,15.05780251
10,2.005828574,0.501889095,13.17060701, 0.63 ,0.314968439,29615353000,5.774518909
11,1.580615115,0.688199454,20.34151824, 0.74 ,0.231133099,3980087000,0.776053138
12,3.02676879,0.548403528,6.368603538, 0.97 ,0.436517185,2493485000,0.486189588
13,1.679094993,0.578339337,7.328913185, 0.99 ,0.417816294,2720771000,0.530506713
14,24.15013482,0.5211098,10, 0.19 ,0.090512955,35963665000,7.012337944
15,14.39579122,0.54278177,10, 0.28 ,0.126078325,28304838000,5.5189895
16,1.971673413,0.693685012,4.593010133, 0.51 ,0.156587808,2061170000,0.401895096
17,1.924685525,0.590124718,10, 0.30 ,0.124863498,3745865000,0.730383604
18,5.970985585,0.972757899,5.577819948, 3.82 ,0.103944551,3999998000,0.779935464
19,2.033511269,0.671679875,10, 0.36 ,0.118033676,1965540000,0.38324878
20,2.093909689,0.68999891,5.070634486, 0.59 ,0.18271023,76557985000,14.92757935
21,1.704043977,0.525948525,20.67244173, 1.28 ,0.609144554,8206093000,1.600056538
22,2.438290731,0.587161547,31.51704545, 0.50 ,0.205781087,3326043000,0.648525047
23,5.316804867,0.802246983,12.80853346, 0.91 ,0.179343541,5745827000,1.120344122
24,2.964338025,0.901564316,13.60994015, 3.09 ,0.303857189,1967424000,0.383616129
25,6.236433002,0.694191526,60.31357101, 0.38 ,0.117168558,3924141000,0.765144566
26,1.961193861,0.575968731,13.14006754, 0.87 ,0.367984715,1121298000,0.218635128
27,1.59236771,0.86612641,10, 1.31 ,0.175689823,2433443000,0.474482361
