No,Liquidez,Nivel_Endeudamiento,Razón-Cobertura_de_intereses,Rentabilidad del Patrimonio,Rentabilidad del Activo,Capital_de_Trabajo,%K
1,2.664191607,0.363313299,143.4137841,94%,0.600414143," 9,213,459,000.00 ",30.71153
2,0.770624581,0.439944298,10,85%,0.478277457," (689,814,000.00)",-2.29938
3,1.948375415,0.474540631,8.222205502,90%,0.473475872," 42,316,217,000.00 ",141.0540567
4,1.577538003,0.422995558,16.88095687,79%,0.45329779," 6,796,555,000.00 ",22.65518333
5,2.083977872,0.646354847,3.998166773,160%,0.565815205," 12,774,173,000.00 ",42.58057667
6,1.77650305,0.553586016,18.61647331,154%,0.6893477," 691,455,000.00 ",2.30485
7,1.442998515,0.759315734,9.717472488,157%,0.378266057," 19,548,440,000.00 ",65.16146667
8,9.692987631,0.608435239,4.304783397,79%,0.308424172," 169,504,079,000.00 ",565.0135967
9,2.221965778,0.400249424,5.291375303,65%,0.389811345," 6,396,788,000.00 ",21.32262667
10,3.151850583,0.711667632,11.66941864,207%,0.597307596," 16,608,680,000.00 ",55.36226667
11,0.939015093,0.410978628,2.489386795,29%,0.169254834," (882,989,000.00)",-2.943296667
12,1.912645448,0.466762678,19.33499586,95%,0.508918852," 1,310,944,000.00 ",4.369813333
13,1.625178904,0.288858047,3.088978135,22%,0.158789028," 4,056,242,000.00 ",13.52080667
14,1.376010599,0.716194414,34.32899579,111%,0.31408938," 12,903,141,000.00 ",43.01047
15,1.170341545,0.92956692,4.434777916,473%,0.332937975," 20,163,337,000.00 ",67.21112333
16,1.318127998,0.721564546,3.026492487,121%,0.336943343," 10,696,467,000.00 ",35.65489
17,5.206782525,0.637178758,4.690995807,143%,0.519985449," 38,565,927,000.00 ",128.55309
18,1.527650956,0.751270077,4.488227627,147%,0.364601601," 11,990,506,000.00 ",39.96835333
19,2.10708244,0.600903438,6.761386013,70%,0.280223321," 13,740,288,000.00 ",45.80096
20,2.517599422,0.369796733,8.689655172,6%,0.038136202," 667,507,000.00 ",2.225023333
