Fecha (dd/mm/aaaa),Tasa de cambio representativa del mercado (TRM)
33569,693.32
33570,693.99
33571,694.7
33572,694.7
33573,643.42
33574,643.42
33575,639.22
33576,635.7
33577,631.51
33578,627.16
33579,638.06
33580,638.06
33581,638.06
33582,622.92
33583,627.46
33584,633.09
33585,632.35
33586,630.91
33587,630.91
33588,630.91
33589,626.23
33590,626.52
33591,633.35
33592,621.71
33593,620.62
33594,620.62
33595,620.62
33596,622.95
33597,622.95
33598,622.95
33599,631.63
33600,632.37
33601,632.37
33602,632.37
33603,632.37
33604,632.37
33605,638.61
33606,632.58
33607,638.07
33608,638.07
33609,638.07
33610,638.07
33611,638.17
33612,638.61
33613,637.86
33614,645.04
33615,645.04
33616,645.04
33617,659.74
33618,657.49
33619,653.45
33620,652.91
33621,645.35
33622,645.35
33623,645.35
33624,645.97
33625,647.04
33626,647.01
33627,647.01
33628,644.83
33629,644.83
33630,644.83
33631,645.53
33632,645.2
33633,644.04
33634,644.27
33635,640.52
33636,640.52
33637,640.52
33638,640.52
33639,638.01
33640,637.65
33641,636.9
33642,635.34
33643,635.34
33644,635.34
33645,634.74
33646,634.59
33647,634.67
33648,635.6
33649,634.74
33650,634.74
33651,634.74
33652,635.66
33653,635.21
33654,634.93
33655,633.31
33656,633.03
33657,633.03
33658,633.03
33659,633.55
33660,633.74
33661,634.06
33662,633.91
33663,636.54
33664,636.54
33665,636.54
33666,640.95
33667,636.05
33668,635.86
33669,636.73
33670,636.22
33671,636.22
33672,636.22
33673,635.88
33674,639.78
33675,639.38
33676,641.29
33677,642
33678,642
33679,642
33680,644.13
33681,643.83
33682,642.59
33683,641.53
33684,640.37
33685,640.37
33686,640.37
33687,640.37
33688,642
33689,641.81
33690,641.22
33691,647.24
33692,647.24
33693,647.24
33694,641.59
33695,641.98
33696,645.14
33697,644.77
33698,643.11
33699,643.11
33700,643.11
33701,645.73
33702,643.98
33703,644.61
33704,646.5
33705,647.28
33706,647.28
33707,647.28
33708,649.48
33709,655.66
33710,657.97
33711,657.97
33712,657.97
33713,657.97
33714,657.97
33715,655.32
33716,652.57
33717,651.48
33718,650.24
33719,651.36
33720,651.36
33721,651.36
33722,650.31
33723,651.95
33724,653.83
33725,653.58
33726,653.58
33727,653.58
33728,653.58
33729,653.1
33730,653.7
33731,654.74
33732,656.4
33733,657.91
33734,657.91
33735,657.91
33736,658.52
33737,660.57
33738,660.88
33739,663.43
33740,663.58
33741,663.58
33742,663.58
33743,663.75
33744,664.5
33745,663.1
33746,662.6
33747,662.11
33748,662.11
33749,662.11
33750,662.15
33751,660.46
33752,660.16
33753,660.99
33754,664.37
33755,664.37
33756,664.37
33757,664.37
33758,666.11
33759,664.3
33760,666.47
33761,664.36
33762,664.36
33763,664.36
33764,665.91
33765,665.92
33766,667.96
33767,667.52
33768,669.55
33769,669.55
33770,669.55
33771,671.36
33772,675.76
33773,680.17
33774,678.25
33775,683.37
33776,683.37
33777,683.37
33778,683.37
33779,690.08
33780,699.09
33781,701.83
33782,697.57
33783,697.57
33784,697.57
33785,697.57
33786,695.36
33787,694.43
33788,693.71
33789,693.4
33790,693.4
33791,693.4
33792,696.12
33793,695.65
33794,699.01
33795,703.74
33796,708.72
33797,708.72
33798,708.72
33799,720.47
33800,719.15
33801,717.45
33802,717.7
33803,715.11
33804,715.11
33805,715.11
33806,715.11
33807,710.91
33808,707.96
33809,699.73
33810,699.68
33811,699.68
33812,699.68
33813,701.66
33814,701.89
33815,702.02
33816,705.14
33817,702.52
33818,702.52
33819,702.52
33820,701.82
33821,698.84
33822,695.32
33823,694.25
33824,694.25
33825,694.25
33826,694.25
33827,692.72
33828,692.25
33829,694.28
33830,692.51
33831,693.25
33832,693.25
33833,693.25
33834,693.25
33835,693.69
33836,692.48
33837,692.56
33838,693.94
33839,693.94
33840,693.94
33841,689.56
33842,689.21
33843,689.45
33844,690.3
33845,691.68
33846,691.68
33847,691.68
33848,691.9
33849,692.89
33850,693.02
33851,695.62
33852,696.77
33853,696.77
33854,696.77
33855,697.69
33856,698.28
33857,695.38
33858,695.54
33859,696.39
33860,696.39
33861,696.39
33862,696.29
33863,696.84
33864,695.7
33865,696.66
33866,696.42
33867,696.42
33868,696.42
33869,699.16
33870,697.77
33871,698.4
33872,697.01
33873,704.8
33874,704.8
33875,704.8
33876,701
33877,702.81
33878,699.7
33879,703.08
33880,710.22
33881,710.22
33882,710.22
33883,704.52
33884,703.66
33885,702.71
33886,704.06
33887,701.88
33888,701.88
33889,701.88
33890,701.88
33891,702.48
33892,705.52
33893,708.21
33894,707.13
33895,707.13
33896,707.13
33897,707.35
33898,706.06
33899,709.22
33900,710.19
33901,712.04
33902,712.04
